Chapter,Total Chapter Size,New Member Class Size,Total Chapter GPA,New Member GPA,Total Service Hours,Average Hours Per Member,Charitable Donations,Annual Report Score,Star Ranking,Chapter Type,Semester,simulated_dates
Phi Beta Sigma,10,,2.482,1.931,131,13.1,200,,,Multicultural Greek Council,F16,9/1/2016
Pi Delta Psi,19,,3.267,3.128,0,0,0,76,0,Multicultural Greek Council,F16,9/1/2016
Sigma Lambda Beta,7,,2.148,,45,6.4,0,,,Multicultural Greek Council,F16,9/1/2016
Sigma Lambda Gamma,6,,3.038,,290,48.3,0,82,3,Multicultural Greek Council,F16,9/1/2016
Sigma Lambda Upsilon,9,,2.823,,63,7,35,69,0,Multicultural Greek Council,F16,9/1/2016
Sigma Psi Zeta,16,,3.025,3.146,733,45.8,0,75,2,Multicultural Greek Council,F16,9/1/2016
Sigma Sigma Rho,13,,2.754,2.066,290,22.3,213,63,0,Multicultural Greek Council,F16,9/1/2016
Omega Psi Phi,8,,2.215,,0,0,0,,,Multicultural Greek Council,F16,9/1/2016
Sigma Chi,111,,2.863,2.478,846,7.6,11580.15,65,0,Interfraternity Council,S17,1/1/2017
Sigma Beta Rho,17,,3.036,2.847,121,7.1,0,84,3,Interfraternity Council,S17,1/1/2017
Sigma Alpha Mu,24,,3.045,2.867,148,6.2,4021.48,90,4,Interfraternity Council,S17,1/1/2017
Pi Kappa Alpha,99,,3.009,2.868,3988,40.3,10205,67,0,Interfraternity Council,S17,1/1/2017
Pi Lambda Phi,34,,3.2,3.183,591,17.4,2776.85,93,4,Interfraternity Council,S17,1/1/2017
Pi Kappa Phi,33,,3.123,3.029,668.7,20.3,11967.89,72,2,Interfraternity Council,S17,1/1/2017
Sigma Phi Delta,20,,3.122,3.651,136,6.8,3009,88,3,Interfraternity Council,S17,1/1/2017
Sigma Alpha Epsilon,53,,3.062,2.902,519.5,9.8,18527.34,97,4,Interfraternity Council,S17,1/1/2017
Sigma Pi,73,,3.036,2.909,168,2.3,2197.62,63,0,Interfraternity Council,S17,1/1/2017
Zeta Beta Tau,57,,3.225,2.92,816.5,14.3,22586,55,0,Interfraternity Council,S17,1/1/2017
Tau Kappa Epsilon,67,,3.133,3.124,250,3.7,11775.71,36,0,Interfraternity Council,S17,1/1/2017
Theta Chi,93,,3.244,3.012,1322.5,14.2,23109.49,75,2,Interfraternity Council,S17,1/1/2017
Theta Delta Chi,96,,3.017,2.664,2075,21.6,16363.63,72,2,Interfraternity Council,S17,1/1/2017
alpha Kappa Delta Phi,19,,3.044,2.864,353,18.6,1001.5,87,3,Multicultural Greek Council,S17,1/1/2017
Alpha Phi Alpha,20,,2.41,2.044,200,10,0,82,3,Multicultural Greek Council,S17,1/1/2017
Chi Upsilon Sigma,13,,3.108,,234,18,399,96,4,Multicultural Greek Council,S17,1/1/2017
Delta Epsilon Psi,32,,3.149,3.5,701.5,21.9,420,90,4,Multicultural Greek Council,S17,1/1/2017
Delta Kappa Delta,9,,3.054,3.054,48,5.3,0,,,Multicultural Greek Council,S17,1/1/2017
Tau Epsilon Phi,20,,3.197,3.023,48,2.4,760,39,0,Interfraternity Council,S17,1/1/2017
Phi Sigma Kappa,30,,2.892,2.758,474,15.8,1687.25,84,3,Interfraternity Council,S17,1/1/2017
Alpha Delta Phi,30,,2.993,3.05,485,16.2,4485.84,50,0,Interfraternity Council,S17,1/1/2017
Phi Kappa Tau,46,,2.989,2.779,487,10.6,18533.9,95,4,Interfraternity Council,S17,1/1/2017
Delta Phi Omega,28,,3.219,3.44,375.5,13.4,1929,82,3,Multicultural Greek Council,S17,1/1/2017
Alpha Epsilon Pi,63,,3.286,2.954,99,1.6,2799.84,87,3,Interfraternity Council,S17,1/1/2017
