Chapter,Total Chapter Size,New Member Class Size,Total Chapter GPA,New Member GPA,Total Service Hours,Average Hours Per Member,Charitable Donations,Annual Report Score,Star Ranking,Chapter Type,Semester,simulated_dates
Chi Upsilon Sigma,13,,3.044,3.31,332,25.5,240,,3,Multicultural Greek Council,S18,1/1/2018
Delta Epsilon Psi,39,,2.969,2.968,1054.5,27,16241,,0,Multicultural Greek Council,S18,1/1/2018
Delta Kappa Delta,12,,3.006,2.39,460,38.3,1101,,3,Multicultural Greek Council,S18,1/1/2018
Delta Phi Omega,35,,3.237,2.961,562,16.1,2167.39,,3,Multicultural Greek Council,S18,1/1/2018
Iota Nu Delta,22,,2.8,2.604,525,23.9,1033,,0,Multicultural Greek Council,S18,1/1/2018
Kappa Phi Gamma,22,,3.236,3.15,325,14.8,226,,3,Multicultural Greek Council,S18,1/1/2018
Kappa Phi Lambda,24,,3.147,2.866,41,1.7,844.9,,0,Multicultural Greek Council,S18,1/1/2018
Lambda Sigma Upsilon,8,,2.977,,126,15.8,45,,2,Multicultural Greek Council,S18,1/1/2018
Lambda Theta Alpha,12,,2.803,2.627,199,16.6,150,,3,Multicultural Greek Council,S18,1/1/2018
Lambda Theta Phi,13,,2.749,,318,24.5,,,3,Multicultural Greek Council,S18,1/1/2018
Lambda Upsilon Lambda,13,,2.93,,2285,175.8,1510,,3,Multicultural Greek Council,S18,1/1/2018
Mu Sigma Upsilon,4,,2.524,1.714,60,15,,,,Multicultural Greek Council,S18,1/1/2018
Nu Alpha Phi,9,,2.668,2.92,64.5,7.2,1060,,3,Multicultural Greek Council,S18,1/1/2018
Omega Phi Beta,9,,3.169,,228.5,25.4,,,3,Multicultural Greek Council,S18,1/1/2018
Omega Phi Chi,17,,3.219,3.077,150,8.8,900,,3,Multicultural Greek Council,S18,1/1/2018
Pi Delta Psi,,,3.121,,0,,,,0,Multicultural Greek Council,S18,1/1/2018
Alpha Epsilon Pi,64,,3.48,3.451,359,5.6,13701.6,,3,Interfraternity Council,S18,1/1/2018
Sigma Delta Tau,143,,3.357,3.289,2105,14.7,3454,,2,Panhellenic Council,S18,1/1/2018
Alpha Phi Delta,17,,3.105,2.911,321,18.9,1951,,3,Interfraternity Council,S18,1/1/2018
Sigma Pi,50,,2.978,2.728,1993,39.9,7427,,3,Interfraternity Council,S18,1/1/2018
Tau Epsilon Phi,25,,2.889,2.848,283,11.3,1650,,3,Interfraternity Council,S18,1/1/2018
Theta Chi,93,,3.135,3.101,861,9.3,16965.02,,0,Interfraternity Council,S18,1/1/2018
Zeta Beta Tau,47,,3.214,3.15,654,13.9,13537.35,,3,Interfraternity Council,S18,1/1/2018
Alpha Kappa Psi,87,,3.24,3.462,860,9.9,17784,,0,Professional Fraternity Council,S18,1/1/2018
Alpha Phi Omega,177,,3.245,2.961,1069,6,38448.83,,0,Professional Fraternity Council,S18,1/1/2018
Alpha Zeta,58,,3.302,3.33,969.7,16.7,6753,,0,Professional Fraternity Council,S18,1/1/2018
Alpha Zeta Omega,98,,3.337,3.245,1049.5,10.7,30740,,3,Professional Fraternity Council,S18,1/1/2018
Sigma Beta Rho,19,,3.04,2.695,281,14.8,300,,3,Interfraternity Council,S18,1/1/2018
Delta Sigma Pi,92,,3.434,3.604,1401,15.2,37380.5,,3,Professional Fraternity Council,S18,1/1/2018
Mu Beta Psi,24,,3.476,3.953,308,12.8,3714,,2,Professional Fraternity Council,S18,1/1/2018
Phi Alpha Delta,27,,3.468,3.928,211,7.8,2564.54,,0,Professional Fraternity Council,S18,1/1/2018
Phi Chi Theta,71,,3.548,3.689,1009,14.2,8202.92,,3,Professional Fraternity Council,S18,1/1/2018
Phi Delta Chi,81,,3.321,3.578,788,9.7,26939.6,,0,Professional Fraternity Council,S18,1/1/2018
Phi Delta Epsilon,77,,3.643,3.647,1187,15.4,8523.46,,4,Professional Fraternity Council,S18,1/1/2018
Phi Sigma Pi,44,,3.38,3.408,974.5,22.1,3613.56,,3,Professional Fraternity Council,S18,1/1/2018
Theta Tau,63,,3.127,2.832,864,13.7,18560.59,,3,Professional Fraternity Council,S18,1/1/2018
Alpha Kappa Lambda,16,,2.947,3.307,127,7.9,,,0,Interfraternity Council,S18,1/1/2018
Lambda Kappa Sigma,39,,3.273,3.208,319.5,8.2,3925,,0,Professional Fraternity Council,S18,1/1/2018
Sigma Alpha Mu,26,,3.287,3.627,155.5,6,5695.9,,0,Interfraternity Council,S18,1/1/2018
Phi Mu Delta,32,,3.434,3.366,404,12.6,4655.21,,3,Interfraternity Council,S18,1/1/2018
Pi Lambda Phi,23,,3.112,3.03,304.5,13.2,1040.01,,3,Interfraternity Council,S18,1/1/2018
Beta Chi Theta,11,,2.97,,124.5,11.3,194,,0,Interfraternity Council,S18,1/1/2018
Chi Phi,71,,3.006,2.805,366,5.2,6457,,0,Interfraternity Council,S18,1/1/2018
Chi Psi,81,,3.381,3.305,1288.5,15.9,76000,,4,Interfraternity Council,S18,1/1/2018
Delta Chi,40,,2.801,2.697,106,2.7,6709,,2,Interfraternity Council,S18,1/1/2018
Delta Lambda Phi,9,,3.463,3.896,12,1.3,,,0,Interfraternity Council,S18,1/1/2018
Delta Phi,29,,2.925,2.965,264,9.1,6157,,2,Interfraternity Council,S18,1/1/2018
Delta Sigma Iota,21,,3.054,2.945,151,7.2,1173,,3,Interfraternity Council,S18,1/1/2018
Delta Sigma Phi,14,,2.857,2.034,84,6,,,2,Interfraternity Council,S18,1/1/2018
Alpha Sigma Phi,66,,3.171,2.913,1039,15.7,13315.25,,3,Interfraternity Council,S18,1/1/2018
Kappa Delta Rho,22,,3,2.832,0,0,,,0,Interfraternity Council,S18,1/1/2018
Phi Gamma Delta,14,,3.243,3.235,433,30.9,3973.88,,3,Interfraternity Council,S18,1/1/2018
Phi Kappa Psi,78,,3.316,,261,3.3,6775,,0,Interfraternity Council,S18,1/1/2018
Phi Kappa Tau,52,,3.11,2.914,1256,24.2,16307,,3,Interfraternity Council,S18,1/1/2018
Sigma Alpha Epsilon,58,,2.988,2.773,342,5.9,18732,,2,Interfraternity Council,S18,1/1/2018
Phi Sigma Kappa,32,,2.88,3.034,498,15.6,3258,,3,Interfraternity Council,S18,1/1/2018
Pi Kappa Alpha,99,,2.976,2.949,874,8.8,10301,,2,Interfraternity Council,S18,1/1/2018
Pi Kappa Phi,37,,2.987,3.128,129,3.5,2700,,0,Interfraternity Council,S18,1/1/2018
Delta Upsilon,74,,3.044,3.192,706.5,9.5,23819,,0,Interfraternity Council,S18,1/1/2018
Sigma Lambda Upsilon,3,0,3.193,,0,0,0,,3,Multicultural Greek Council,F18,9/1/2018
Sigma Lambda Gamma,10,1,2.771,,164,16,0,,3,Multicultural Greek Council,F18,9/1/2018
Phi Beta Sigma,13,3,1.898,1.074,0,0,0,,0,Multicultural Greek Council,F18,9/1/2018
Psi Sigma Phi,2,2,2.508,2.508,0,0,0,,,Multicultural Greek Council,F18,9/1/2018
Pi Delta Psi,24,10,2.826,2.745,0,0,0,,0,Multicultural Greek Council,F18,9/1/2018
Sigma Psi Zeta,18,6,3.252,3.685,0,0,0,,3,Multicultural Greek Council,F18,9/1/2018
Sigma Lambda Beta,8,1,2.951,,657,82,0,,3,Multicultural Greek Council,F18,9/1/2018
Sigma Sigma Rho,10,2,2.942,2.88,152,15,183,,3,Multicultural Greek Council,F18,9/1/2018
Delta Sigma Pi,79,15,3.313,3.413,596.5,8,2510,,3,Professional Fraternity Council,F18,9/1/2018
Alpha Phi Omega,131,33,3.108,2.795,1927.5,15,769,,0,Professional Fraternity Council,F18,9/1/2018
Alpha Zeta,49,10,3.134,3.396,0,0,0,,0,Professional Fraternity Council,F18,9/1/2018
Alpha Zeta Omega,88,11,3.402,2.95,447,5,31120,,3,Professional Fraternity Council,F18,9/1/2018
Lambda Kappa Sigma,38,11,3.333,3.364,273.5,7,0,,0,Professional Fraternity Council,F18,9/1/2018
Mu Beta Psi,12,0,3.47,,223,18.5,0,,2,Professional Fraternity Council,F18,9/1/2018
Phi Alpha Delta,25,11,3.238,2.86,171.5,7,1620,,0,Professional Fraternity Council,F18,9/1/2018
Phi Chi Theta,52,5,3.453,3.286,519,10,5625,,3,Professional Fraternity Council,F18,9/1/2018
Omega Phi Chi,10,0,3.369,,294,29,509,,3,Multicultural Greek Council,F18,9/1/2018
Alpha Kappa Psi,78,15,3.067,2.679,0,0,0,,0,Professional Fraternity Council,F18,9/1/2018
Omega Phi Beta,3,0,2.181,,0,0,0,,3,Multicultural Greek Council,F18,9/1/2018
Iota Phi Theta,6,0,,,0,0,0,,,Multicultural Greek Council,F18,9/1/2018
Mu Sigma Upsilon,10,7,2.666,2.726,140,14,0,,,Multicultural Greek Council,F18,9/1/2018
Alpha Kappa Alpha,9,0,2.76,,667.5,74,0,,3,Multicultural Greek Council,F18,9/1/2018
alpha Kappa Delta Phi,18,6,3.092,2.53,0,0,0,,2,Multicultural Greek Council,F18,9/1/2018
Alpha Phi Alpha,7,0,2.191,,0,0,0,,2,Multicultural Greek Council,F18,9/1/2018
Chi Upsilon Sigma,9,2,3.016,3.1,130.25,15,0,,3,Multicultural Greek Council,F18,9/1/2018
Delta Epsilon Psi,29,3,2.578,1.793,0,0,0,,0,Multicultural Greek Council,F18,9/1/2018
Delta Kappa Delta,12,4,2.696,2.265,285,24,0,,3,Multicultural Greek Council,F18,9/1/2018
Delta Lambda Phi,6,1,2.506,,0,0,0,,0,Multicultural Greek Council,F18,9/1/2018
Delta Phi Omega,23,2,3.193,2.95,437.5,19,0,,3,Multicultural Greek Council,F18,9/1/2018
Nu Alpha Phi,11,1,2.686,,50,5,0,,3,Multicultural Greek Council,F18,9/1/2018
Delta Sigma Iota,22,2,2.933,2.125,382,17,0,,3,Multicultural Greek Council,F18,9/1/2018
Phi Delta Chi,72,12,3.294,3.154,0,0,0,,0,Professional Fraternity Council,F18,9/1/2018
Kappa Phi Gamma,20,5,2.922,2.934,423,21,530,,3,Multicultural Greek Council,F18,9/1/2018
Kappa Phi Lambda,22,6,2.61,2.031,230,10,1080,,0,Multicultural Greek Council,F18,9/1/2018
Lambda Pi Chi,8,8,2.811,2.811,0,0,0,,,Multicultural Greek Council,F18,9/1/2018
Lambda Sigma Upsilon,11,5,2.974,3.204,201.5,18,3672,,2,Multicultural Greek Council,F18,9/1/2018
Lambda Theta Alpha,8,0,2.551,,152.5,19,0,,3,Multicultural Greek Council,F18,9/1/2018
Lambda Theta Phi,8,0,2.119,,185,23,0,,3,Multicultural Greek Council,F18,9/1/2018
Lambda Upsilon Lambda,7,1,2.776,,109,16,0,,3,Multicultural Greek Council,F18,9/1/2018
Iota Nu Delta,21,5,2.781,2.59,526,25,1180,,0,Multicultural Greek Council,F18,9/1/2018
Phi Delta Epsilon,79,17,3.551,3.521,1234.5,16,1841,,4,Professional Fraternity Council,F18,9/1/2018
Zeta Phi Beta,12,0,3.065,,143.5,12,543,,3,Multicultural Greek Council,F18,9/1/2018
Theta Tau,50,6,3.056,2.333,370.5,7,0,,3,Professional Fraternity Council,F18,9/1/2018
Delta Sigma Phi,9,0,3.033,,0,0,0,,2,Interfraternity Council,F18,9/1/2018
Delta Upsilon,52,8,2.812,3.086,0,0,0,,0,Interfraternity Council,F18,9/1/2018
Kappa Delta Rho,15,2,2.862,2.597,0,0,0,,0,Interfraternity Council,F18,9/1/2018
Phi Gamma Delta,24,11,3.1,2.919,223,9,140,,3,Interfraternity Council,F18,9/1/2018
Phi Kappa Psi,61,14,3.01,2.504,297,5,345,,0,Interfraternity Council,F18,9/1/2018
Phi Kappa Tau,46,8,3.067,2.831,0,0,0,,3,Interfraternity Council,F18,9/1/2018
Phi Mu Delta,21,1,2.991,,161,8,0,,3,Interfraternity Council,F18,9/1/2018
Pi Kappa Alpha,78,10,2.876,2.55,441,6,954,,2,Interfraternity Council,F18,9/1/2018
Pi Kappa Phi,51,17,2.764,2.62,0,0,0,,0,Interfraternity Council,F18,9/1/2018
Pi Lambda Phi,21,3,3.118,2.891,160,8,0,,3,Interfraternity Council,F18,9/1/2018
Sigma Alpha Epsilon,50,12,2.835,2.384,0,0,0,,2,Interfraternity Council,F18,9/1/2018
Sigma Alpha Mu,22,7,2.983,2.703,122,6,473,,0,Interfraternity Council,F18,9/1/2018
Sigma Beta Rho,13,0,2.868,,221,17,0,,3,Interfraternity Council,F18,9/1/2018
Sigma Pi,60,14,2.962,2.692,360,6,416,,3,Interfraternity Council,F18,9/1/2018
Tau Epsilon Phi,16,2,2.804,3.1,140,9,87,,3,Interfraternity Council,F18,9/1/2018
Theta Chi,81,18,3.129,3.124,487,6,500,,0,Interfraternity Council,F18,9/1/2018
Theta Delta Chi,35,0,3.105,,0,0,0,,,Interfraternity Council,F18,9/1/2018
Phi Sigma Pi,51,16,3.485,3.48,518,10,1151,,3,Professional Fraternity Council,F18,9/1/2018
Zeta Beta Tau,36,2,3.189,3.183,655,18,0,,3,Interfraternity Council,F18,9/1/2018
Delta Phi,41,17,2.719,2.668,0,0,0,,2,Interfraternity Council,F18,9/1/2018
Delta Chi,37,11,2.704,2.774,0,0,0,,3,Interfraternity Council,F18,9/1/2018
Phi Sigma Kappa,28,5,2.669,3.006,326.5,12,164,,3,Interfraternity Council,F18,9/1/2018
Chi Phi,68,13,2.778,2.448,0,0,0,,0,Interfraternity Council,F18,9/1/2018
Alpha Gamma Delta,87,11,3.211,2.908,734,8,0,,2,Panhellenic Council,F18,9/1/2018
Chi Psi,71,13,3.252,3.046,448.5,6.3,0,,4,Interfraternity Council,F18,9/1/2018
Delta Gamma,99,5,3.384,2.875,553,6,3526,,3,Panhellenic Council,F18,9/1/2018
Gamma Phi Beta,98,0,3.249,,0,0,0,,3,Panhellenic Council,F18,9/1/2018
Omega Phi Alpha,83,18,3.26,3.293,1050,13,230,,3,Panhellenic Council,F18,9/1/2018
Phi Mu,104,6,3.361,2.8,401,4,165,,3,Panhellenic Council,F18,9/1/2018
Phi Sigma Rho,31,8,2.88,2.699,529,17,1725,,3,Panhellenic Council,F18,9/1/2018
Phi Sigma Sigma,111,0,3.228,,1754,16,0,,4,Panhellenic Council,F18,9/1/2018
Sigma Alpha Epsilon Pi,18,3,3.3,2.642,104,6,0,,,Panhellenic Council,F18,9/1/2018
Sigma Delta Tau,90,0,3.382,,960,11,2243,,2,Panhellenic Council,F18,9/1/2018
Alpha Omega Epsilon,52,15,3.237,3.077,448,9,0,,2,Panhellenic Council,F18,9/1/2018
Sigma Kappa,49,15,3.122,2.932,0,0,0,,3,Panhellenic Council,F18,9/1/2018
Zeta Tau Alpha,106,0,3.286,,658,6,13574,,3,Panhellenic Council,F18,9/1/2018
Alpha Delta Phi,17,2,2.74,3.275,103,6,0,,3,Interfraternity Council,F18,9/1/2018
Alpha Epsilon Pi,53,6,3.319,3.242,0,0,0,,3,Interfraternity Council,F18,9/1/2018
Alpha Kappa Lambda,20,5,2.812,3.088,143,7,424,,0,Interfraternity Council,F18,9/1/2018
Alpha Phi Delta,13,1,3.085,,62.5,5,1210,,3,Interfraternity Council,F18,9/1/2018
Alpha Sigma Phi,76,13,3.124,2.694,418,6,668,,3,Interfraternity Council,F18,9/1/2018
Beta Chi Theta,5,0,2.459,,0,0,0,,0,Interfraternity Council,F18,9/1/2018
Sigma Psi Zeta,17,5,3.432,3.312,0,0,0,90,4,Multicultural Greek Council,S19,1/1/2019
Sigma Lambda Upsilon,14,11,3.244,3.4,190.5,16.44,0,62.27,1,Multicultural Greek Council,S19,1/1/2019
Sigma Lambda Gamma,10,0,2.914,,174,17.4,0,80,3,Multicultural Greek Council,S19,1/1/2019
Pi Delta Psi,25,4,2.937,2.763,125,5,0,37.27,1,Multicultural Greek Council,S19,1/1/2019
Psi Sigma Phi,2,0,3.386,,0,0,0,,,Multicultural Greek Council,S19,1/1/2019
Sigma Sigma Rho,10,3,3.372,3.188,135,13.5,861.5,85.45,3,Multicultural Greek Council,S19,1/1/2019
Phi Beta Sigma,12,0,2.682,,93,7.75,40,55.91,1,Multicultural Greek Council,S19,1/1/2019
Sigma Lambda Beta,8,1,3.237,,433,54.125,0,70.29,2,Multicultural Greek Council,S19,1/1/2019
Zeta Phi Beta,17,6,3.294,3.422,58,3.411,73,54.55,1,Multicultural Greek Council,S19,1/1/2019
Delta Sigma Pi,89,14,3.582,3.675,1753,19.69,28689.56,86.36,3,Professional Fraternity Council,S19,1/1/2019
Alpha Phi Omega,119,23,3.293,3.176,3944.5,33.14,52325.63,39.09,1,Professional Fraternity Council,S19,1/1/2019
Alpha Zeta,64,17,3.161,3.208,10425,16.28,9356.95,55,1,Professional Fraternity Council,S19,1/1/2019
Phi Delta Chi,80,9,3.319,3.482,1206.5,15.08,29636,28.18,1,Professional Fraternity Council,S19,1/1/2019
Lambda Kappa Sigma,41,4,3.29,3.192,573.75,13.99,3222.94,94.09,4,Professional Fraternity Council,S19,1/1/2019
Mu Beta Psi,18,5,3.554,3.523,281.25,15.62,1755,66.36,1,Professional Fraternity Council,S19,1/1/2019
Phi Alpha Delta,29,10,3.597,3.731,239,8.24,3691.85,39.55,1,Professional Fraternity Council,S19,1/1/2019
Phi Chi Theta,68,16,3.48,3.508,1007,14.8,16042.54,51.82,1,Professional Fraternity Council,S19,1/1/2019
Omega Phi Chi,13,2,3.391,3.75,91.5,7.03,780,93.64,4,Multicultural Greek Council,S19,1/1/2019
Alpha Kappa Psi,77,14,3.313,3.304,1082.5,14.05,7064.86,70.71,2,Professional Fraternity Council,S19,1/1/2019
Omega Phi Beta,3,0,2.223,,0,0,0,30.91,1,Multicultural Greek Council,S19,1/1/2019
alpha Kappa Delta Phi,26,11,3.277,3.095,232.5,8.94,953,70,2,Multicultural Greek Council,S19,1/1/2019
Mu Sigma Upsilon,12,4,2.526,1.889,161,13.41,0,57.27,1,Multicultural Greek Council,S19,1/1/2019
Phi Delta Epsilon,87,17,3.762,3.645,1684,19.35,6243.5,73.18,2,Professional Fraternity Council,S19,1/1/2019
Alpha Phi Alpha,11,6,2.981,3.01,82.5,7.5,205,37.27,1,Multicultural Greek Council,S19,1/1/2019
Chi Upsilon Sigma,8,0,3.139,,93.5,11.68,0,,,Multicultural Greek Council,S19,1/1/2019
Delta Epsilon Psi,24,0,2.972,,413,17.2,8648.44,30.45,1,Multicultural Greek Council,S19,1/1/2019
Delta Kappa Delta,16,6,3.051,3.13,322,20.12,1815.16,70,2,Multicultural Greek Council,S19,1/1/2019
Delta Lambda Phi,7,2,3.122,3.464,77,11,0,50,1,Multicultural Greek Council,S19,1/1/2019
Delta Phi Omega,24,1,3.259,,221.5,9.22,4258,90,4,Multicultural Greek Council,S19,1/1/2019
Delta Sigma Iota,16,2,2.966,2.555,251,15.68,4867.78,75,2,Multicultural Greek Council,S19,1/1/2019
Nu Alpha Phi,11,0,3.163,,0,0,0,,,Multicultural Greek Council,S19,1/1/2019
Iota Nu Delta,20,1,3.133,,677,33.85,2514.16,94.55,4,Multicultural Greek Council,S19,1/1/2019
Kappa Phi Gamma,17,2,3.247,2.893,308,18.11,4009,94.55,4,Multicultural Greek Council,S19,1/1/2019
Kappa Phi Lambda,24,8,3.176,3.324,242,10.08,1175,87.73,3,Multicultural Greek Council,S19,1/1/2019
Lambda Pi Chi,14,7,2.878,2.82,0,0,0,,,Multicultural Greek Council,S19,1/1/2019
Alpha Kappa Alpha,9,0,3.188,,90.95,10.1,258,53.18,1,Multicultural Greek Council,S19,1/1/2019
Lambda Sigma Upsilon,9,0,3.21,,148,16.44,0,87.27,3,Multicultural Greek Council,S19,1/1/2019
Lambda Theta Alpha,11,4,3.315,3,174,15.81,0,77.27,2,Multicultural Greek Council,S19,1/1/2019
Lambda Theta Phi,9,5,2.738,2.731,184,20.44,200,64.55,1,Multicultural Greek Council,S19,1/1/2019
Lambda Upsilon Lambda,9,2,3.167,3.476,0,0,0,54.55,1,Multicultural Greek Council,S19,1/1/2019
Iota Phi Theta,6,0,2.842,,0,0,0,,,Multicultural Greek Council,S19,1/1/2019
Phi Sigma Pi,53,14,3.629,3.648,676,12.75,9627.11,84.55,3,Professional Fraternity Council,S19,1/1/2019
Phi Kappa Tau,54,11,3.3,3.113,1023,18.94,14789.9,44.09,1,Interfraternity Council,S19,1/1/2019
Alpha Chi Omega,113,113,3.232,3.232,129,1.14,12674.15,,,Panhellenic Council,S19,1/1/2019
Delta Upsilon,59,9,3.082,2.89,1055,17.88,2301.07,65,1,Interfraternity Council,S19,1/1/2019
Kappa Delta Rho,18,4,2.937,2.876,108,6,42,50,1,Interfraternity Council,S19,1/1/2019
Phi Gamma Delta,34,14,2.98,2.783,217,6.38,5327.16,51.82,1,Interfraternity Council,S19,1/1/2019
Phi Kappa Psi,76,21,3.131,2.968,383,5.03,9409.43,63.13,1,Interfraternity Council,S19,1/1/2019
Phi Mu Delta,24,5,3.241,3.592,269.5,11.22,613,50.91,1,Interfraternity Council,S19,1/1/2019
Phi Sigma Kappa,29,4,3.046,3.155,269,9.27,1256,67.27,1,Interfraternity Council,S19,1/1/2019
Pi Kappa Alpha,89,23,3.036,3.194,966,10.85,985,27.27,1,Interfraternity Council,S19,1/1/2019
Pi Kappa Phi,59,10,2.838,2.705,234,3.966,8424,70.91,2,Interfraternity Council,S19,1/1/2019
Delta Sigma Phi,8,0,3.302,,0,0,0,12.73,1,Interfraternity Council,S19,1/1/2019
Pi Lambda Phi,26,7,3.222,3,49,1.88,1091,81.82,3,Interfraternity Council,S19,1/1/2019
Sigma Alpha Mu,38,17,3.214,3.183,332,8.75,6440,70,2,Interfraternity Council,S19,1/1/2019
Sigma Beta Rho,14,2,2.8,2.419,190,13.57,182,70.45,2,Interfraternity Council,S19,1/1/2019
Sigma Pi,41,5,3.059,2.743,277,6.75,6092,48.47,1,Interfraternity Council,S19,1/1/2019
Tau Epsilon Phi,19,5,2.845,2.888,215.5,11.34,745.2,50.91,1,Interfraternity Council,S19,1/1/2019
Theta Delta Chi,35,0,3.162,,0,0,0,,,Interfraternity Council,S19,1/1/2019
Zeta Beta Tau,49,11,3.355,3.302,304,6.2,86,64.55,1,Interfraternity Council,S19,1/1/2019
Zeta Psi,18,18,3.08,3.08,0,0,125,,,Interfraternity Council,S19,1/1/2019
Theta Tau,54,9,3.232,3.256,1177,21.79,12480.92,76.36,2,Professional Fraternity Council,S19,1/1/2019
Sigma Alpha Epsilon,48,6,3.146,2.901,521,10.84,16924.66,45.45,1,Interfraternity Council,S19,1/1/2019
Delta Phi,41,0,3.072,,0,0,0,,,Interfraternity Council,S19,1/1/2019
Theta Chi,103,25,3.242,3.319,1342,13.02,23345,76.36,2,Interfraternity Council,S19,1/1/2019
Chi Psi,82,17,3.288,3.215,3286,40.07,64955.02,80,3,Interfraternity Council,S19,1/1/2019
Delta Chi,44,9,2.926,3.127,152,3.45,4743,46.06,1,Interfraternity Council,S19,1/1/2019
Alpha Gamma Delta,122,45,3.305,3.328,1941,15.9,22384.81,66.36,1,Panhellenic Council,S19,1/1/2019
Alpha Omega Epsilon,59,17,3.51,3.411,990.5,16.78,13845.97,91.82,4,Panhellenic Council,S19,1/1/2019
Delta Gamma,118,30,3.391,3.219,2881,24.14,44930.53,77.27,2,Panhellenic Council,S19,1/1/2019
Gamma Phi Beta,142,43,3.353,3.257,1149,8.09,44096.2,52.85,1,Panhellenic Council,S19,1/1/2019
Omega Phi Alpha,93,23,3.432,3.401,2464,26.49,33915.79,78.18,2,Panhellenic Council,S19,1/1/2019
Phi Sigma Rho,39,8,3.04,3.208,442,11.33,5066.58,78.18,3,Panhellenic Council,S19,1/1/2019
Phi Sigma Sigma,151,38,3.321,3.12,2820,18.67,65648.26,93.64,4,Panhellenic Council,S19,1/1/2019
Sigma Alpha Epsilon Pi,16,4,3.423,3.635,120.75,7.54,1328,56.65,1,Panhellenic Council,S19,1/1/2019
Phi Mu,138,42,3.38,3.22,1556,11.27,27601.85,70,2,Panhellenic Council,S19,1/1/2019
Sigma Kappa,70,20,3.163,2.73,643.5,9.19,12262.85,61.82,1,Panhellenic Council,S19,1/1/2019
Zeta Tau Alpha,143,39,3.367,3.206,1354,9.46,35987.37,52.11,1,Panhellenic Council,S19,1/1/2019
Alpha Delta Phi,22,7,3.003,3.02,63,2.86,1789,85.45,3,Interfraternity Council,S19,1/1/2019
Chi Phi,51,15,3.027,2.992,332,6.5,5876.5,70,2,Interfraternity Council,S19,1/1/2019
Alpha Epsilon Pi,68,14,3.294,3.112,580,8.52,12603,80.91,3,Interfraternity Council,S19,1/1/2019
Alpha Kappa Lambda,19,4,2.819,2.561,333.5,17.65,3487.96,67.27,1,Interfraternity Council,S19,1/1/2019
Alpha Phi Delta,12,0,2.824,,75,6.25,890,49.09,1,Interfraternity Council,S19,1/1/2019
Alpha Sigma Phi,83,12,3.263,3.223,734,8.84,11782,70.45,2,Interfraternity Council,S19,1/1/2019
Sigma Delta Tau,136,51,3.345,3.217,1416.5,10.41,29810.52,86.36,3,Panhellenic Council,S19,1/1/2019
Beta Chi Theta,5,0,3.288,,0,0,0,,,Interfraternity Council,S19,1/1/2019
Sigma Delta Tau,103,0,3.494,,960,9.3,2209,,,Panhellenic Council,F19,9/1/2019
Sigma Kappa,34,7,3.235,3.009,0,0,0,,,Panhellenic Council,F19,9/1/2019
Zeta Tau Alpha,101,0,3.491,,0,0,0,,,Panhellenic Council,F19,9/1/2019
Alpha Kappa Lambda,15,3,2.728,2.541,335.5,22.4,138.5,,,Interfraternity Council,F19,9/1/2019
Alpha Epsilon Pi,61,5,3.419,3.061,580,9.5,1140,,,Interfraternity Council,F19,9/1/2019
Alpha Phi Delta,12,4,2.858,3.026,75,6.2,0,,,Interfraternity Council,F19,9/1/2019
Phi Sigma Sigma,104,5,3.314,3.125,0,0,0,,,Panhellenic Council,F19,9/1/2019
Alpha Delta Phi,16,4,3.135,2.887,63,3.9,0,,,Interfraternity Council,F19,9/1/2019
Phi Sigma Rho,40,6,3.153,2.652,529,13.2,1725,,,Panhellenic Council,F19,9/1/2019
Phi Sigma Pi,49,13,3.693,3.68,0,0,0,,,Professional Fraternity Council,F19,9/1/2019
Omega Phi Alpha,66,0,3.562,,1050,15.9,0,,,Panhellenic Council,F19,9/1/2019
Gamma Phi Beta,107,0,3.486,,0,0,0,,,Panhellenic Council,F19,9/1/2019
Delta Gamma,91,12,3.3,2.823,553,6,3525.96,,,Panhellenic Council,F19,9/1/2019
Alpha Omega Epsilon,56,17,3.564,3.435,990.5,17.6,0,,,Panhellenic Council,F19,9/1/2019
Alpha Gamma Delta,90,0,3.368,,1941,21.5,332.19,,,Panhellenic Council,F19,9/1/2019
Alpha Chi Omega,101,10,3.37,3.336,0,0,0,,,Panhellenic Council,F19,9/1/2019
Theta Tau,41,10,3.087,2.895,,,0,,,Professional Fraternity Council,F19,9/1/2019
Alpha Sigma Phi,66,13,3.11,2.777,734,11.1,166,,,Interfraternity Council,F19,9/1/2019
Phi Delta Epsilon,74,18,3.702,3.457,,,1751,,,Professional Fraternity Council,F19,9/1/2019
Phi Delta Chi,85,6,3.336,2.741,0,0,0,,,Professional Fraternity Council,F19,9/1/2019
Phi Mu,100,0,3.458,,161,1.5,0,,,Panhellenic Council,F19,9/1/2019
Beta Chi Theta,5,,2.559,,0,0,0,,,Interfraternity Council,F19,9/1/2019
Phi Sigma Kappa,18,3,3.006,2.912,326.5,18.1,0,,,Interfraternity Council,F19,9/1/2019
Chi Psi,65,11,3.294,3.232,448.5,69,20,,,Interfraternity Council,F19,9/1/2019
Phi Chi Theta,60,17,3.552,3.342,,,4623.6,,,Professional Fraternity Council,F19,9/1/2019
Zeta Psi,27,10,2.882,2.674,0,0,0,,,Interfraternity Council,F19,9/1/2019
Zeta Beta Tau,41,14,3.252,3.105,655,15.9,0,,,Interfraternity Council,F19,9/1/2019
